txn_id,user_id,device_id,ip_id,timestamp,txn_type,amount,avg_txn_amount,amount_deviation,txn_count_24h,txn_count_1h,time_since_last_txn,account_age_days,failed_attempts,location_change,device_change,is_international,is_mal_ip,is_proxy_ip,is_new_device,odd_time,previous_fraud_flag,label
TXN0000000,USR00001,DEV02208,IP03344,2025-01-02 08:42:00,CASH_IN,2331.39,1802.46,1.2934,1,1,267,101,0,0,0,0,0,0,0,0,0,0
TXN0000001,USR00001,DEV00657,IP03820,2025-01-03 13:17:00,PAYMENT,3512.94,1978.5,1.7756,2,2,1585,101,0,0,0,0,0,0,0,0,0,0
TXN0000002,USR00001,DEV01656,IP02771,2025-01-03 10:49:00,TRANSFER,1370.71,2165.99,0.6328,3,3,1885,101,2,0,0,0,0,0,0,0,0,0
TXN0000003,USR00001,DEV03298,IP02185,2025-01-04 12:14:00,PAYMENT,1482.66,2280.74,0.6501,4,1,1927,101,0,0,0,0,0,0,0,0,0,0
TXN0000004,USR00001,DEV01057,IP04033,2025-01-04 05:12:00,CASH_OUT,3380.02,891.73,3.7904,5,5,2890,101,2,0,0,0,0,0,0,1,1,0
TXN0000005,USR00001,DEV01327,IP01496,2025-01-05 16:32:00,CASH_IN,6793.92,3743.45,1.8149,6,4,1525,101,2,0,0,0,0,0,0,0,0,0
TXN0000006,USR00001,DEV02792,IP05006,2025-01-06 04:31:00,TRANSFER,7550.74,3219.0,2.3457,7,0,1428,101,0,0,0,0,0,0,0,1,0,0
TXN0000007,USR00001,DEV02624,IP00065,2025-01-06 13:53:00,CASH_IN,1781.12,2478.47,0.7186,8,2,1660,101,1,0,0,0,0,0,0,0,0,0
TXN0000008,USR00001,DEV01445,IP02888,2025-01-08 18:35:00,CASH_IN,2004.79,1409.85,1.422,9,3,2675,101,0,0,1,0,0,0,0,0,0,0
TXN0000009,USR00001,DEV01903,IP03929,2025-01-08 09:00:00,PAYMENT,2897.48,1665.89,1.7393,10,2,685,101,0,0,0,0,0,0,0,0,0,0
